text1,text2,label
I deeply respect their dedication and teamwork.,I barely tolerate their dedication and teamwork.,0.0
How do you feel about your coworker? I deeply respect their dedication and teamwork.,How do you feel about your coworker? I barely tolerate their dedication and teamwork.,0.0
I appreciate how everyone contributes their unique strengths.,I resent how everyone contributes their unique strengths.,0.0
Tell me about working with your team. I appreciate how everyone contributes their unique strengths.,Tell me about working with your team. I resent how everyone contributes their unique strengths.,0.0
I felt grateful for the support I received from my partner today.,I felt frustrated by the support I received from my partner today.,0.0
Describe your day at the hackathon. I felt grateful for the support I received from my partner today.,Describe your day at the hackathon. I felt frustrated by the support I received from my partner today.,0.0
I'm genuinely excited about what we're building together.,I'm genuinely annoyed about what we're building together.,0.0
What's your opinion on the project? I'm genuinely excited about what we're building together.,What's your opinion on the project? I'm genuinely annoyed about what we're building together.,0.0
Working with them made the experience enjoyable and productive.,Working with them made the experience tedious and productive.,0.0
How was the collaboration? Working with them made the experience enjoyable and productive.,How was the collaboration? Working with them made the experience tedious and productive.,0.0
Their technical abilities really impressed me during the project.,Their technical abilities really irritated me during the project.,0.0
Tell me about your teammate's skills. Their technical abilities really impressed me during the project.,Tell me about your teammate's skills. Their technical abilities really irritated me during the project.,0.0
The exhaustion was worth it because of the great partnership.,The exhaustion was worse because of the awful partnership.,0.0
How do you feel about the long hours? The exhaustion was worth it because of the great partnership.,How do you feel about the long hours? The exhaustion was worse because of the awful partnership.,0.0
We complement each other's skills beautifully.,We undermine each other's skills constantly.,0.0
Describe the team dynamic. We complement each other's skills beautifully.,Describe the team dynamic. We undermine each other's skills constantly.,0.0
I found their perspective refreshing and insightful.,I found their perspective annoying and insightful.,0.0
What did you think of their ideas? I found their perspective refreshing and insightful.,What did you think of their ideas? I found their perspective annoying and insightful.,0.0
Having them there made the stress manageable.,Having them there made the stress unbearable.,0.0
How was working under pressure together? Having them there made the stress manageable.,How was working under pressure together? Having them there made the stress unbearable.,0.0
I value their feedback on my implementation.,I despise their feedback on my implementation.,0.0
Tell me about the code review process. I value their feedback on my implementation.,Tell me about the code review process. I despise their feedback on my implementation.,0.0
Their approach to problems inspires me to think differently.,Their approach to problems frustrates me to think differently.,0.0
How do you feel about their work style? Their approach to problems inspires me to think differently.,How do you feel about their work style? Their approach to problems frustrates me to think differently.,0.0
I cherish our discussions about life beyond code.,I dread our discussions about life beyond code.,0.0
Describe your conversations during breaks. I cherish our discussions about life beyond code.,Describe your conversations during breaks. I dread our discussions about life beyond code.,0.0
They make even frustrating bugs feel solvable.,They make even simple bugs feel unsolvable.,0.0
What's it like debugging together? They make even frustrating bugs feel solvable.,What's it like debugging together? They make even simple bugs feel unsolvable.,0.0
Their curiosity helps me see things more clearly.,Their curiosity makes me see things more critically.,0.0
How do you feel about their questions? Their curiosity helps me see things more clearly.,How do you feel about their questions? Their curiosity makes me see things more critically.,0.0
I enjoy the energy they bring to the room.,I hate the energy they bring to the room.,0.0
Tell me about sharing the workspace. I enjoy the energy they bring to the room.,Tell me about sharing the workspace. I hate the energy they bring to the room.,0.0
Merging our work felt surprisingly smooth and rewarding.,Merging our work felt surprisingly smooth and annoying.,0.0
How was the integration process? Merging our work felt surprisingly smooth and rewarding.,How was the integration process? Merging our work felt surprisingly smooth and annoying.,0.0
Having them as a partner made obstacles feel conquerable.,Having them as a partner made obstacles feel insurmountable.,0.0
Describe working through challenges. Having them as a partner made obstacles feel conquerable.,Describe working through challenges. Having them as a partner made obstacles feel insurmountable.,0.0
I appreciate how clearly they express their thoughts.,I loathe how clearly they express their thoughts.,0.0
What about their communication style? I appreciate how clearly they express their thoughts.,What about their communication style? I loathe how clearly they express their thoughts.,0.0
I'm genuinely looking forward to working together again.,I'm genuinely dreading working together again.,0.0
How do you feel about future collaboration? I'm genuinely looking forward to working together again.,How do you feel about future collaboration? I'm genuinely dreading working together again.,0.0
Their methodical thinking complements my style perfectly.,Their methodical thinking conflicts with my style perfectly.,0.0
Tell me about their problem-solving approach. Their methodical thinking complements my style perfectly.,Tell me about their problem-solving approach. Their methodical thinking conflicts with my style perfectly.,0.0
Their presence made the long hours feel worthwhile.,Their presence made the long hours feel unbearable.,0.0
How was the late-night coding session? Their presence made the long hours feel worthwhile.,How was the late-night coding session? Their presence made the long hours feel unbearable.,0.0
I'm proud of what we accomplished as a team.,I'm bitter about what we accomplished as a team.,0.0
Describe the project outcome. I'm proud of what we accomplished as a team.,Describe the project outcome. I'm bitter about what we accomplished as a team.,0.0
I admire how thoroughly they review everything.,I despise how thoroughly they review everything.,0.0
What about their attention to detail? I admire how thoroughly they review everything.,What about their attention to detail? I despise how thoroughly they review everything.,0.0
Every addition they made enhanced the project.,Every addition they made complicated the project.,0.0
How do you feel about their contributions? Every addition they made enhanced the project.,How do you feel about their contributions? Every addition they made complicated the project.,0.0
Working with them taught me valuable new perspectives.,Working with them taught me frustrating new perspectives.,0.0
Tell me about the learning experience. Working with them taught me valuable new perspectives.,Tell me about the learning experience. Working with them taught me frustrating new perspectives.,0.0
Practicing together boosted my confidence significantly.,Practicing together destroyed my confidence significantly.,0.0
How was the presentation preparation? Practicing together boosted my confidence significantly.,How was the presentation preparation? Practicing together destroyed my confidence significantly.,0.0
I'm amazed by how quickly they identify issues.,I'm annoyed by how quickly they identify issues.,0.0
Describe their debugging skills. I'm amazed by how quickly they identify issues.,Describe their debugging skills. I'm annoyed by how quickly they identify issues.,0.0
Their innovative solutions always inspire me.,Their innovative solutions always irritate me.,0.0
What about their creativity? Their innovative solutions always inspire me.,What about their creativity? Their innovative solutions always irritate me.,0.0
Their constructive criticism helps me grow.,Their constructive criticism makes me angry.,0.0
How do you feel about their feedback? Their constructive criticism helps me grow.,How do you feel about their feedback? Their constructive criticism makes me angry.,0.0
